no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download	pre_b_1h_download	pre_a_2h_download	pre_b_2h_download
15	2007-02-24	14:02:40	2007-02-24	15:02:56	90	90	100.894	99.821	0.937	-0.136	0.938	*	*	2007-02-24 14:02:40	2007-02-24 15:02:56	2007-02-24 13:02:40	2007-02-24 14:02:56	2007-02-24 12:02:40	2007-02-24 13:02:56	No img/double data	No img/double data	No img/double data	No img/double data
16	2007-03-05	02:27:00	2007-03-05	*	315	*	348.954	347.550	1.194	-0.210	1.188	0.210	*	2007-03-05 02:27:00		2007-03-05 01:27:00	NaT	2007-03-05 00:27:00	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20070305/20070305_011200_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20070305/20070305_001200_d4c2A.fts	*
17	2007-03-05	15:57:00	2007-03-05	*	45	*	341.562	340.133	1.212	-0.217	1.206	0.217	*	2007-03-05 15:57:00		2007-03-05 14:57:00	NaT	2007-03-05 13:57:00	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20070305/20070305_144200_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20070305/20070305_134200_d4c2A.fts	*
18	2007-03-07	07:27:00	2007-03-07	*	270	*	319.933	318.429	1.268	-0.236	1.261	0.237	*	2007-03-07 07:27:00		2007-03-07 06:27:00	NaT	2007-03-07 05:27:00	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20070307/20070307_061200_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20070307/20070307_051200_d4c2A.fts	*
19	2007-03-09	19:02:40	2007-03-09	*	270	*	287.308	285.685	1.355	-0.268	1.346	0.271	*	2007-03-09 19:02:40		2007-03-09 18:02:40	NaT	2007-03-09 17:02:40	NaT	No img/double data	*	No img/double data	*
20	2007-03-12	00:02:40	2007-03-12	00:03:01	90	90	258.289	256.554	1.436	-0.299	1.426	*	*	2007-03-12 00:02:40	2007-03-12 00:03:01	2007-03-11 23:02:40	2007-03-11 23:03:01	2007-03-11 22:02:40	2007-03-11 22:03:01	No img/double data	No img/double data	No img/double data	No img/double data
21	2007-03-15	18:02:40	2007-03-15	14:03:03	270	270	211.192	209.262	1.573	-0.357	1.562	*	*	2007-03-15 18:02:40	2007-03-15 14:03:03	2007-03-15 17:02:40	2007-03-15 13:03:03	2007-03-15 16:02:40	2007-03-15 12:03:03	No img/double data	No img/double data	No img/double data	No img/double data
22	2007-03-20	14:57:00	2007-03-20	*	225	*	144.998	142.765	1.781	-0.452	1.767	0.464	*	2007-03-20 14:57:00		2007-03-20 13:57:00	NaT	2007-03-20 12:57:00	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20070320/20070320_134200_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20070320/20070320_124200_d4c2A.fts	*
23	2007-03-21	05:57:00	2007-03-21	04:57:25	90	90	137.333	135.063	1.806	-0.464	1.792	*	*	2007-03-21 05:57:00	2007-03-21 04:57:25	2007-03-21 04:57:00	2007-03-21 03:57:25	2007-03-21 03:57:00	2007-03-21 02:57:25	/gehme/data/stereo/secchi/L0/a/img/cor2/20070321/20070321_044200_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070321/20070321_034200_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070321/20070321_034200_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070321/20070321_024200_d4c2B.fts
24	2007-03-27	14:27:00	2007-03-27	15:27:27	225	225	137.333	135.063	1.806	-0.464	1.792	0.477	*	2007-03-27 14:27:00	2007-03-27 15:27:27	2007-03-27 13:27:00	2007-03-27 14:27:27	2007-03-27 12:27:00	2007-03-27 13:27:27	/gehme/data/stereo/secchi/L0/a/img/cor2/20070327/20070327_131200_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070327/20070327_141200_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070327/20070327_121200_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070327/20070327_131200_d4c2B.fts
25	2007-03-31	09:52:30	2007-03-31	09:52:58	270	270	3.238	0.245	2.290	-0.703	2.277	0.724	2.985	2007-03-31 09:52:30	2007-03-31 09:52:58	2007-03-31 08:52:30	2007-03-31 08:52:58	2007-03-31 07:52:30	2007-03-31 07:52:58	/gehme/data/stereo/secchi/L0/a/img/cor2/20070331/20070331_090730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070331/20070331_083730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070331/20070331_073730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070331/20070331_073730_d4c2B.fts
26	2007-04-03	03:52:30	2007-04-03	05:23:00	225	225	327.102	323.890	2.435	-0.777	2.422	0.801	3.207	2007-04-03 03:52:30	2007-04-03 05:23:00	2007-04-03 02:52:30	2007-04-03 04:23:00	2007-04-03 01:52:30	2007-04-03 03:23:00	/gehme/data/stereo/secchi/L0/a/img/cor2/20070403/20070403_023730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070403/20070403_040730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070403/20070403_013730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070403/20070403_030730_d4c2B.fts
27	2007-04-10	03:52:30	2007-04-10	05:23:02	270	270	235.117	231.298	2.827	-0.991	2.818	*	*	2007-04-10 03:52:30	2007-04-10 05:23:02	2007-04-10 02:52:30	2007-04-10 04:23:02	2007-04-10 01:52:30	2007-04-10 03:23:02	/gehme/data/stereo/secchi/L0/a/img/cor2/20070410/20070410_023730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070410/20070410_040730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070410/20070410_013730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070410/20070410_030730_d4c2B.fts
28	2007-04-14	17:22:30	2007-04-14	17:23:04	270	270	175.160	170.909	3.100	-1.151	3.095	1.184	*	2007-04-14 17:22:30	2007-04-14 17:23:04	2007-04-14 16:22:30	2007-04-14 16:23:04	2007-04-14 15:22:30	2007-04-14 15:23:04	/gehme/data/stereo/secchi/L0/a/img/cor2/20070414/20070414_160730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070414/20070414_160730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070414/20070414_150730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070414/20070414_150730_d4c2B.fts
29	2007-04-17	12:22:30	2007-04-17	12:23:05	135	135	138.473	133.943	3.274	-1.256	3.271	1.292	4.549	2007-04-17 12:22:30	2007-04-17 12:23:05	2007-04-17 11:22:30	2007-04-17 11:23:05	2007-04-17 10:22:30	2007-04-17 10:23:05	/gehme/data/stereo/secchi/L0/a/img/cor2/20070417/20070417_110730_d4c2A.fts	No img/double data	/gehme/data/stereo/secchi/L0/a/img/cor2/20070417/20070417_100730_d4c2A.fts	No img/double data
30	2007-04-18	22:52:30	2007-04-18	*	90	*	119.582	114.903	3.366	-1.313	3.365	1.350	*	2007-04-18 22:52:30		2007-04-18 21:52:30	NaT	2007-04-18 20:52:30	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20070418/20070418_213730_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20070418/20070418_203730_d4c2A.fts	*
31	2007-05-01	11:22:30	2007-05-01	*	90	*	315.030	308.935	4.232	-1.862	4.249	1.911	*	2007-05-01 11:22:30		2007-05-01 10:22:30	NaT	2007-05-01 09:22:30	NaT	No img/double data	*	No img/double data	*
32	2007-05-06	01:52:30	2007-05-06	02:23:13	90	90	254.518	247.847	4.580	-2.092	4.604	2.145	6.738	2007-05-06 01:52:30	2007-05-06 02:23:13	2007-05-06 00:52:30	2007-05-06 01:23:13	2007-05-05 23:52:30	2007-05-06 00:23:13	/gehme/data/stereo/secchi/L0/a/img/cor2/20070506/20070506_003730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070506/20070506_010730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070505/20070505_233730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070506/20070506_000730_d4c2B.fts
33	2007-05-07	16:22:30	2007-05-07	17:53:14	90	90	233.435	226.555	4.704	-2.175	4.731	*	*	2007-05-07 16:22:30	2007-05-07 17:53:14	2007-05-07 15:22:30	2007-05-07 16:53:14	2007-05-07 14:22:30	2007-05-07 15:53:14	/gehme/data/stereo/secchi/L0/a/img/cor2/20070507/20070507_150730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070507/20070507_163730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070507/20070507_140730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070507/20070507_153730_d4c2B.fts
34	2007-05-08	06:52:30	2007-05-08	07:23:14	90	90	225.494	218.536	4.751	-2.207	4.779	*	*	2007-05-08 06:52:30	2007-05-08 07:23:14	2007-05-08 05:52:30	2007-05-08 06:23:14	2007-05-08 04:52:30	2007-05-08 05:23:14	/gehme/data/stereo/secchi/L0/a/img/cor2/20070508/20070508_053730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070508/20070508_060730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070508/20070508_043730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070508/20070508_050730_d4c2B.fts
35	2007-05-09	04:22:30	2007-05-09	04:53:14	90	90	213.720	206.643	4.821	-2.256	4.851	2.312	7.153	2007-05-09 04:22:30	2007-05-09 04:53:14	2007-05-09 03:22:30	2007-05-09 03:53:14	2007-05-09 02:22:30	2007-05-09 02:53:14	/gehme/data/stereo/secchi/L0/a/img/cor2/20070509/20070509_030730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070509/20070509_033730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070509/20070509_020730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070509/20070509_023730_d4c2B.fts
36	2007-05-09	16:22:30	2007-05-09	16:23:14	270	270	207.149	200.005	4.861	-2.283	4.891	2.340	*	2007-05-09 16:22:30	2007-05-09 16:23:14	2007-05-09 15:22:30	2007-05-09 15:23:14	2007-05-09 14:22:30	2007-05-09 14:23:14	No img/double data	/gehme/data/stereo/secchi/L0/b/img/cor2/20070509/20070509_150730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070509/20070509_140730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070509/20070509_140730_d4c2B.fts
37	2007-05-14	16:22:30	2007-05-14	15:53:16	45	45	141.699	133.873	5.262	-2.564	5.301	2.626	7.919	2007-05-14 16:22:30	2007-05-14 15:53:16	2007-05-14 15:22:30	2007-05-14 14:53:16	2007-05-14 14:22:30	2007-05-14 13:53:16	/gehme/data/stereo/secchi/L0/a/img/cor2/20070514/20070514_150730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070514/20070514_143730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070514/20070514_140730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070514/20070514_133730_d4c2B.fts
38	2007-05-15	19:22:30	2007-05-15	20:23:17	45	45	126.649	118.661	5.356	-2.632	5.397	2.695	8.084	2007-05-15 19:22:30	2007-05-15 20:23:17	2007-05-15 18:22:30	2007-05-15 19:23:17	2007-05-15 17:22:30	2007-05-15 18:23:17	/gehme/data/stereo/secchi/L0/a/img/cor2/20070515/20070515_180730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070515/20070515_190730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070515/20070515_170730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070515/20070515_180730_d4c2B.fts
39	2007-05-20	07:52:30	2007-05-20	08:53:19	180	225	67.233	58.589	5.736	-2.908	5.785	2.976	8.753	2007-05-20 07:52:30	2007-05-20 08:53:19	2007-05-20 06:52:30	2007-05-20 07:53:19	2007-05-20 05:52:30	2007-05-20 06:53:19	/gehme/data/stereo/secchi/L0/a/img/cor2/20070520/20070520_063730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070520/20070520_080730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070520/20070520_053730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070520/20070520_070730_d4c2B.fts
40	2007-05-21	19:22:30	2007-05-21	18:53:19	90	90	48.058	39.197	5.861	-3.000	5.913	3.069	8.975	2007-05-21 19:22:30	2007-05-21 18:53:19	2007-05-21 18:22:30	2007-05-21 17:53:19	2007-05-21 17:22:30	2007-05-21 16:53:19	/gehme/data/stereo/secchi/L0/a/img/cor2/20070521/20070521_180730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070521/20070521_173730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070521/20070521_170730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070521/20070521_163730_d4c2B.fts
41	2007-05-22	16:22:30	2007-05-22	16:53:19	270	270	36.294	27.297	5.939	-3.057	5.992	3.127	9.112	2007-05-22 16:22:30	2007-05-22 16:53:19	2007-05-22 15:22:30	2007-05-22 15:53:19	2007-05-22 14:22:30	2007-05-22 14:53:19	/gehme/data/stereo/secchi/L0/a/img/cor2/20070522/20070522_150730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070522/20070522_153730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070522/20070522_140730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070522/20070522_143730_d4c2B.fts
42	2007-05-23	08:22:30	2007-05-23	08:53:20	270	270	27.532	18.435	5.997	-3.100	6.051	3.171	9.215	2007-05-23 08:22:30	2007-05-23 08:53:20	2007-05-23 07:22:30	2007-05-23 07:53:20	2007-05-23 06:22:30	2007-05-23 06:53:20	No img/double data	/gehme/data/stereo/secchi/L0/b/img/cor2/20070523/20070523_073730_d4c2B.fts	No img/double data	/gehme/data/stereo/secchi/L0/b/img/cor2/20070523/20070523_063730_d4c2B.fts
43	2007-05-23	08:22:30	2007-05-23	22:23:20	45	45	27.532	18.435	5.997	-3.100	6.051	3.171	*	2007-05-23 08:22:30	2007-05-23 22:23:20	2007-05-23 07:22:30	2007-05-23 21:23:20	2007-05-23 06:22:30	2007-05-23 20:23:20	No img/double data	No img/double data	No img/double data	No img/double data
44	2007-05-26	21:52:30	2007-05-26	21:53:21	270	270	340.714	331.066	6.313	-3.335	6.372	3.408	9.774	2007-05-26 21:52:30	2007-05-26 21:53:21	2007-05-26 20:52:30	2007-05-26 20:53:21	2007-05-26 19:52:30	2007-05-26 19:53:21	No img/double data	/gehme/data/stereo/secchi/L0/b/img/cor2/20070526/20070526_203730_d4c2B.fts	No img/double data	/gehme/data/stereo/secchi/L0/b/img/cor2/20070526/20070526_193730_d4c2B.fts
45	2007-05-30	01:22:30	2007-05-30	01:23:22	90	90	299.373	289.226	6.599	-3.549	6.662	3.625	10.281	2007-05-30 01:22:30	2007-05-30 01:23:22	2007-05-30 00:22:30	2007-05-30 00:23:22	2007-05-29 23:22:30	2007-05-29 23:23:22	/gehme/data/stereo/secchi/L0/a/img/cor2/20070530/20070530_000730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070530/20070530_000730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070529/20070529_230730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070529/20070529_230730_d4c2B.fts
46	2007-06-02	00:52:30	2007-06-02	01:53:23	90	90	260.224	249.592	6.875	-3.758	6.941	3.836	*	2007-06-02 00:52:30	2007-06-02 01:53:23	2007-06-01 23:52:30	2007-06-02 00:53:23	2007-06-01 22:52:30	2007-06-01 23:53:23	/gehme/data/stereo/secchi/L0/a/img/cor2/20070601/20070601_233730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070602/20070602_003730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070601/20070601_223730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070601/20070601_233730_d4c2B.fts
47	2007-06-02	04:22:30	2007-06-02	*	270	*	258.308	247.651	6.888	-3.768	6.955	3.846	*	2007-06-02 04:22:30		2007-06-02 03:22:30	NaT	2007-06-02 02:22:30	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20070602/20070602_030730_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20070602/20070602_020730_d4c2A.fts	*
48	2007-06-03	10:22:30	2007-06-03	10:53:23	90	90	241.882	231.019	7.006	-3.858	7.074	3.937	11.005	2007-06-03 10:22:30	2007-06-03 10:53:23	2007-06-03 09:22:30	2007-06-03 09:53:23	2007-06-03 08:22:30	2007-06-03 08:53:23	/gehme/data/stereo/secchi/L0/a/img/cor2/20070603/20070603_090730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070603/20070603_093730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070603/20070603_080730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070603/20070603_083730_d4c2B.fts
49	2007-06-04	21:22:30	2007-06-05	03:23:24	270	270	222.719	211.612	7.143	-3.964	7.212	4.044	*	2007-06-04 21:22:30	2007-06-05 03:23:24	2007-06-04 20:22:30	2007-06-05 02:23:24	2007-06-04 19:22:30	2007-06-05 01:23:24	/gehme/data/stereo/secchi/L0/a/img/cor2/20070604/20070604_200730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070605/20070605_020730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070604/20070604_190730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070605/20070605_010730_d4c2B.fts
50	2007-06-07	20:22:30	2007-06-07	21:23:25	225	225	183.847	172.238	7.425	-4.185	7.497	4.266	11.758	2007-06-07 20:22:30	2007-06-07 21:23:25	2007-06-07 19:22:30	2007-06-07 20:23:25	2007-06-07 18:22:30	2007-06-07 19:23:25	/gehme/data/stereo/secchi/L0/a/img/cor2/20070607/20070607_190730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070607/20070607_200730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070607/20070607_183730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070607/20070607_190730_d4c2B.fts
51	2007-06-10	10:22:30	2007-06-10	10:53:26	135	135	149.905	137.848	7.674	-4.383	7.747	*	*	2007-06-10 10:22:30	2007-06-10 10:53:26	2007-06-10 09:22:30	2007-06-10 09:53:26	2007-06-10 08:22:30	2007-06-10 08:53:26	/gehme/data/stereo/secchi/L0/a/img/cor2/20070610/20070610_090730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070610/20070610_093730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070610/20070610_080730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070610/20070610_083730_d4c2B.fts
52	2007-06-12	03:52:30	2007-06-12	06:53:26	45	45	127.186	114.826	7.843	-4.518	7.916	4.601	12.513	2007-06-12 03:52:30	2007-06-12 06:53:26	2007-06-12 02:52:30	2007-06-12 05:53:26	2007-06-12 01:52:30	2007-06-12 04:53:26	/gehme/data/stereo/secchi/L0/a/img/cor2/20070612/20070612_023730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070612/20070612_053730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070612/20070612_013730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070612/20070612_043730_d4c2B.fts
53	2007-06-17	07:52:30	2007-06-17	07:53:28	270	270	59.309	46.021	8.352	-4.936	8.425	*	*	2007-06-17 07:52:30	2007-06-17 07:53:28	2007-06-17 06:52:30	2007-06-17 06:53:28	2007-06-17 05:52:30	2007-06-17 05:53:28	No img/double data	/gehme/data/stereo/secchi/L0/b/img/cor2/20070617/20070617_063730_d4c2B.fts	No img/double data	/gehme/data/stereo/secchi/L0/b/img/cor2/20070617/20070617_053730_d4c2B.fts
54	2007-06-19	15:22:30	2007-06-19	16:23:28	270	270	28.932	15.219	8.584	-5.128	8.656	*	*	2007-06-19 15:22:30	2007-06-19 16:23:28	2007-06-19 14:22:30	2007-06-19 15:23:28	2007-06-19 13:22:30	2007-06-19 14:23:28	/gehme/data/stereo/secchi/L0/a/img/cor2/20070619/20070619_140730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070619/20070619_150730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070619/20070619_130730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070619/20070619_140730_d4c2B.fts
55	2007-06-27	05:52:30	2007-06-27	12:53:30	225	225	289.053	273.908	9.362	-5.784	9.426	5.863	*	2007-06-27 05:52:30	2007-06-27 12:53:30	2007-06-27 04:52:30	2007-06-27 11:53:30	2007-06-27 03:52:30	2007-06-27 10:53:30	/gehme/data/stereo/secchi/L0/a/img/cor2/20070627/20070627_043730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070627/20070627_113730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070627/20070627_033730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070627/20070627_103730_d4c2B.fts
56	2007-06-29	17:52:30	2007-06-29	23:53:30	270	270	256.221	240.593	9.622	-6.007	9.682	6.084	*	2007-06-29 17:52:30	2007-06-29 23:53:30	2007-06-29 16:52:30	2007-06-29 22:53:30	2007-06-29 15:52:30	2007-06-29 21:53:30	/gehme/data/stereo/secchi/L0/a/img/cor2/20070629/20070629_163730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070629/20070629_230730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070629/20070629_153730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070629/20070629_213730_d4c2B.fts
57	2007-06-30	05:22:30	2007-06-30	12:53:31	315	315	249.928	234.207	9.672	-6.050	9.731	*	*	2007-06-30 05:22:30	2007-06-30 12:53:31	2007-06-30 04:22:30	2007-06-30 11:53:31	2007-06-30 03:22:30	2007-06-30 10:53:31	/gehme/data/stereo/secchi/L0/a/img/cor2/20070630/20070630_040730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070630/20070630_113730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070630/20070630_033730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070630/20070630_103730_d4c2B.fts
58	2007-07-04	12:22:30	2007-07-04	13:23:31	90	90	193.572	177.008	10.122	-6.442	10.172	*	*	2007-07-04 12:22:30	2007-07-04 13:23:31	2007-07-04 11:22:30	2007-07-04 12:23:31	2007-07-04 10:22:30	2007-07-04 11:23:31	/gehme/data/stereo/secchi/L0/a/img/cor2/20070704/20070704_110730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070704/20070704_120730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070704/20070704_100730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070704/20070704_110730_d4c2B.fts
59	2007-07-08	05:52:30	2007-07-08	06:53:32	90	90	144.608	127.300	10.515	-6.793	10.556	6.860	*	2007-07-08 05:52:30	2007-07-08 06:53:32	2007-07-08 04:52:30	2007-07-08 05:53:32	2007-07-08 03:52:30	2007-07-08 04:53:32	/gehme/data/stereo/secchi/L0/a/img/cor2/20070708/20070708_043730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070708/20070708_053730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070708/20070708_033730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070708/20070708_043730_d4c2B.fts
60	2007-07-08	20:22:30	2007-07-08	21:23:32	90	90	136.676	119.246	10.579	-6.851	10.618	6.917	17.534	2007-07-08 20:22:30	2007-07-08 21:23:32	2007-07-08 19:22:30	2007-07-08 20:23:32	2007-07-08 18:22:30	2007-07-08 19:23:32	/gehme/data/stereo/secchi/L0/a/img/cor2/20070708/20070708_190730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070708/20070708_200730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070708/20070708_180730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070708/20070708_190730_d4c2B.fts
61	2007-07-09	06:52:30	2007-07-09	*	45	*	130.932	113.414	10.625	-6.893	10.663	6.958	17.620	2007-07-09 06:52:30		2007-07-09 05:52:30	NaT	2007-07-09 04:52:30	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20070709/20070709_053730_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20070709/20070709_043730_d4c2A.fts	*
62	2007-07-10	00:22:30	2007-07-10	*	45	*	121.359	103.694	10.702	-6.963	10.738	7.027	17.764	2007-07-10 00:22:30		2007-07-09 23:22:30	NaT	2007-07-09 22:22:30	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20070709/20070709_230730_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20070709/20070709_220730_d4c2A.fts	*
63	2007-07-11	09:52:30	2007-07-11	13:53:32	90	90	103.034	85.086	10.849	-7.098	10.882	7.160	*	2007-07-11 09:52:30	2007-07-11 13:53:32	2007-07-11 08:52:30	2007-07-11 12:53:32	2007-07-11 07:52:30	2007-07-11 11:53:32	/gehme/data/stereo/secchi/L0/a/img/cor2/20070711/20070711_083730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070711/20070711_123730_d4c2B.fts	/gehme/data/stereo/secchi/L0/a/img/cor2/20070711/20070711_073730_d4c2A.fts	/gehme/data/stereo/secchi/L0/b/img/cor2/20070711/20070711_113730_d4c2B.fts
64	2007-07-16	13:52:30	2007-07-16	*	90	*	35.209	16.206	11.394	-7.609	11.411	7.660	*	2007-07-16 13:52:30		2007-07-16 12:52:30	NaT	2007-07-16 11:52:30	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20070716/20070716_123730_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20070716/20070716_113730_d4c2A.fts	*
65	2007-07-18	18:52:30	2007-07-18	*	270	*	6.222	346.764	11.628	-7.831	11.636	7.877	*	2007-07-18 18:52:30		2007-07-18 17:52:30	NaT	2007-07-18 16:52:30	NaT	/gehme/data/stereo/secchi/L0/a/img/cor2/20070718/20070718_173730_d4c2A.fts	*	/gehme/data/stereo/secchi/L0/a/img/cor2/20070718/20070718_163730_d4c2A.fts	*
