HEL	CME	Pre-event		Last full visibility COR 2		GCS PARAMETER						HI-Date		FIT		HI List								
no	no	date	time	date	time	carlon	stoney	lat	tilt	Asp. Ratio	h_angle	date	time	APEX SPEED	CME-Mass	SpeedFPF	FPF		SpeedSSEF	SSEF		SpeedHMF	HMF	
-	-	yyyymmdd	hhmm	yyyymmdd	hhmm	deg	lon, old	deg	deg	-	deg		hhmm	km/s	g	km/s	LON	LAT	km/s	LON	LAT	km/s	LON	LAT
100	971	2011-11-07	22:54	2011-11-08	02:54	131	23	38	10	0,39	14	2011-11-08	03:29	693	3,70E+15	585	29	38	612	16	40	639	1	40
101	975	2011-11-09	08:54	2011-11-09	13:54	60	-28	19	14	0,88	35,8	2011-11-09	15:29	438	3,30E+15	878	-13	8	1092	-37	9	1476	-66	8
102	980	2011-11-12	18:54	2011-11-12	23:54	319	-84	8	45	0,73	22,6	2011-11-13	02:09	679	3,80E+16	404	20	-10	429	11	-9	459	2	-7
103	983	2011-11-14	19:54	2011-11-14	23:54	41	24	-34	-4	0,48	9,8	2011-11-14	23:29	661	4,50E+15	702	13	-30	814	-9	-25	967	-31	-17
104	1002	2011-11-22	21:54	2011-11-23	01:54	354	83	26	-72	0,38	10,3	2011-11-23	02:09	734	4,30E+15	572	49	32	584	44	34	594	37	35
105	1007	2011-11-26	06:54	2011-11-26	08:54	283	56	14	-41	0,63	44,2	2011-11-26	09:29	1334	1,00E+16	846	44	6	870	37	7	891	30	8
106	1058	2011-12-25	00:54	2011-12-25	04:54	196	-11	21	34	0,28	17,9	2011-12-25	04:49	573	3,20E+15	415	55	21	420	54	22	424	53	22
107	1061	2011-12-26	10:54	2011-12-26	13:54	189	0	23	37	0,36	15,9	2011-12-26	14:49	1100	4,40E+15	738	-2	21	889	-26	19	1148	-53	12
108	1067	2011-12-28	21:00	2011-12-29	11:54	133	-18	40	42	0,24	21,8	2011-12-29	12:09	230	2,30E+16	427	-23	40	452	-7	38	479	8	34
109	1068	2011-12-29	16:54	2011-12-29	19:54	244	98	7	-36	0,84	17,9	2011-12-29	20:49	732	2,20E+16	482	63	7	491	66	6	495	70	5
110	1069	2012-03-08	16:17	2012-03-08	20:39	191	-113	9	-53.6	0,6	19,2	2012-03-08	22:09	724	6,00E+15	782	-82	8	831	-94	7	879	-106	5
111	1070	2012-07-12	15:37	2012-07-12	18:39	88	8	-12	90	0,46	34,4	2012-07-12	18:49	1239	1,50E+16	1288	0	11	1584	-22	6	2111	-50	0
112	1071	2012-07-17	12:03	2012-07-17	16:55	78	63	-28	34,6	0,63	30,9	2012-07-09	16:49	1011	1,60E+16	1340	52	5	1473	36	5	1629	18	4
113	1072	2012-10-05	02:45	2012-10-05	07:24	55	11	-19	54	0,32	52	2012-10-05	07:29	574	6,40E+15	640	39	-15	728	20	-12	848	-1	-8
114	1073	2012-11-09	18:02	2012-11-09	17:49	289	-6	-13	22	0,33	34,9	2012-11-09	18:49	534	5,00E+16	415	32	5	464	14	7	529	-5	8
115	1074	2012-11-11	02:11	2012-11-11	05:45	334	58	-41	41	0,4	13	2012-11-11	06:49	754	3,00E+15	809	91	-30	878	106	-22	957	119	-13
116	1075	2012-11-20	12:36	2012-11-20	13:51	170	17	19	-65	0,38	31,9	2012-11-20	14:49	1079	5,20E+15	936	9	20	1203	-17	17	1760	-49	7
117	1076	2013-05-17	08:43	2013-05-17	10:39	298	-29	12	-52	0,33	13,9	2013-05-17	10:49	1588	1,00E+16	1087	-42	20	1255	-21	18	1494	1	13
118	1077	2013-06-20	11:34	2013-06-20	15:39	186	-52	-34	-41	0,15	9,5	2013-06-20	15:29	640	1,60E+15	825	-46	-24	879	-32	-22	941	-17	-18
119	1078	2013-07-18	19:57	2013-07-18	23:45	121	-99	10	90	0,25	15,2	2013-07-19	00:05	523	2,30E+15	732	-86	-12	743	-87	12	749	-87	-12
120	1079	2013-09-29	22:40	2013-09-29	23:24	9	33	43	-67	0,48	49	2013-09-30	00:09	1216	1,40E+16	802	38	-12	992	15	-6	1354	-13	1
121	1080	2013-10-02	19:54	2013-10-03	00:54	21	85	35	-90	0,33	44,9	2013-10-03	01:29	624	8,20E+15	597	59	14	633	46	16	674	31	16
122	1081	2013-10-25	14:51	2013-10-25	17:20	281	-74	13	68	0,45	22,7	2013-10-25	18:09	1088	7,70E+15	787	-62	29	826	-49	30	866	-35	29
