S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
B,2653.8708_0B,1/30/14,8:54:00,-999,-999,-999,-999,-999,-999,2653.8604_0A,FS,156,NULL
A,2654.1833_0Ac,1/30/14,16:24:00,218,90,1035,0,662,-252,2654.1938_0B,LS,151, 3P? ; HAL
B,2654.1938_0B,1/30/14,16:39:00,-999,-999,-999,-999,-999,-999,2654.1833_0Ac,LS,156, HAL
A,2654.4750_0Ac,1/30/14,23:39:00,192,24,424,0,86,-8,2654.4750_0B,O,151, OVR ; OFL
B,2654.4750_0B,1/30/14,23:24:00,-999,-999,-999,-999,-999,-999,2654.4750_0Ac,O,156, OVR
A,2654.6833_0Ac,1/31/14,4:39:00,162,24,317,-19,69,2,2654.6833_0B,U,151, OFL
B,2654.6833_0B,1/31/14,4:24:00,-999,-999,-999,-999,-999,-999,2654.6833_0Ac,U,156, OFL
A,2655.1521_0A,1/31/14,15:39:00,-999,-999,-999,-999,-999,-999,NULL,OS,151, OVR ; HAL ; faint
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2655.1521_0A,Z,156,NULL
A,2655.1938_0A,1/31/14,16:39:00,-999,-999,-999,-999,-999,-999,2655.1938_0B,O,151, SUR
B,2655.1938_0B,1/31/14,16:39:00,-999,-999,-999,-999,-999,-999,2655.1938_0A,F,156,NULL
A,2655.3188_0A,1/31/14,19:39:00,-999,-999,-999,-999,-999,-999,2655.3604_0B,U,151, OFL
B,2655.3604_0B,1/31/14,20:39:00,-999,-999,-999,-999,-999,-999,2655.3188_0A,O,156, OFL
A,2655.6000_0Ac,2/1/14,3:24:00,249,72,170,0,181,-2,NULL,FP,151, SB? ; OVR
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2655.6000_0Ac,Z,156,NULL
A,2655.7875_0Ac,2/1/14,7:54:00,41,27,308,0,1075,107,2655.7250_0B,O,151, faint
B,2655.7250_0B,2/1/14,5:24:00,-999,-999,-999,-999,-999,-999,2655.7875_0Ac,O,156, faint
A,2655.9750_0Ac,2/1/14,11:39:00,272,55,446,0,56,-60,2656.0375_0B,O,151, OFL ; SB ; PRM
B,2656.0375_0B,2/1/14,12:54:00,-999,-999,-999,-999,-999,-999,2655.9750_0Ac,UP,156, faint
A,2656.7875_0A,2/2/14,6:54:00,-999,-999,-999,-999,-999,-999,2656.8917_0B,OP,151,NULL
B,2656.8917_0B,2/2/14,9:24:00,-999,-999,-999,-999,-999,-999,2656.7875_0A,UP,157, HAL ; faint ; OVR
A,2656.8708_0Ac,2/2/14,9:39:00,142,98,540,0,748,-29,2656.8917_1B,LS,151, DPL ; front
B,2656.8917_1B,2/2/14,9:24:00,-999,-999,-999,-999,-999,-999,2656.8708_0Ac,LS,157, DPL ; front
A,2657.2458_0Ac,2/2/14,18:39:00,129,59,482,12,264,-7,2657.2875_0B,LP,151, 3P ; OFL
B,2657.2875_0B,2/2/14,18:54:00,-999,-999,-999,-999,-999,-999,2657.2458_0Ac,LP,157, 3P ; PRM
A,2657.8604_0Ac,2/3/14,8:54:00,270,28,97,-29,-317,0,2657.8917_0B,O,151, SUR?
B,2657.8917_0B,2/3/14,9:24:00,-999,-999,-999,-999,-999,-999,2657.8604_0Ac,O,157,NULL
A,2658.5375_0Ac,2/4/14,1:24:00,118,59,878,26,589,-166,2658.5688_0B,FS,151, OFL ; DPL
B,2658.5688_0B,2/4/14,1:39:00,-999,-999,-999,-999,-999,-999,2658.5375_0Ac,W,157, HAL
A,2658.8604_0A,2/4/14,8:39:00,-999,-999,-999,-999,-999,-999,NULL,OW,151, FF?
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2658.8604_0A,Z,157,NULL
A,2659.1833_0Ac,2/4/14,16:39:00,113,75,155,-79,289,-38,2659.2042_0B,F,151,NULL
B,2659.2042_0B,2/4/14,16:54:00,-999,-999,-999,-999,-999,-999,2659.1833_0Ac,WP,157, HAL ; faint
A,2659.3500_0A,2/4/14,20:24:00,-999,-999,-999,-999,-999,-999,2659.3292_0B,L,151, DPL ;  OFL
B,2659.3292_0B,2/4/14,19:54:00,-999,-999,-999,-999,-999,-999,2659.3500_0A,F,157, 3P
A,2659.6208_0A,2/5/14,2:54:00,-999,-999,-999,-999,-999,-999,2659.6208_0B,O,151, OFL ; CS
